fecha,estacion,comuna,mp25_estimado,nivel_calidad_aire_predicho,temperatura_max,temperatura_min,temperatura_promedio,humedad_relativa,velocidad_viento,precipitacion,horizonte_dia,fecha_generacion
2026-07-13,Puente Alto,Puente Alto,27.23,regular,11.8,4.9,7.3,75.0,11.2,36.9,1,2026-07-14 23:02:30
2026-07-14,Puente Alto,Puente Alto,26.67,regular,15.2,7.9,12.4,62.0,6.7,0.0,2,2026-07-14 23:02:30
2026-07-15,Puente Alto,Puente Alto,25.6,regular,18.5,11.5,13.8,59.0,6.0,1.8,3,2026-07-14 23:02:30
2026-07-16,Puente Alto,Puente Alto,19.31,buena,13.1,9.4,11.1,78.0,8.6,17.9,4,2026-07-14 23:02:30
2026-07-17,Puente Alto,Puente Alto,17.6,buena,10.7,8.4,9.7,89.0,11.4,60.3,5,2026-07-14 23:02:30
2026-07-18,Puente Alto,Puente Alto,19.58,buena,10.0,7.1,8.2,82.0,9.3,26.2,6,2026-07-14 23:02:30
2026-07-19,Puente Alto,Puente Alto,18.79,buena,12.0,7.4,9.1,88.0,10.8,31.2,7,2026-07-14 23:02:30
