FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
221015;0000;16;;;
221016;0000;12;;;
221017;0000;9;;;
221018;0000;8;;;
221019;0000;8;;;
221020;0000;10;;;
221021;0000;11;;;
221022;0000;10;;;
221023;0000;10;;;
221024;0000;10;;;
221025;0000;7;;;
221026;0000;8;;;
221027;0000;9;;;
221028;0000;14;;;
221029;0000;13;;;
221030;0000;5;;;
221031;0000;10;;;
221101;0000;9;;;
221102;0000;13;;;
221103;0000;15;;;
221104;0000;19;;;
221105;0000;13;;;
221106;0000;16;;;
221107;0000;16;;;
221108;0000;16;;;
221109;0000;8;;;
221110;0000;8;;;
221111;0000;8;;;
221112;0000;5;;;
221113;0000;5;;;
221114;0000;9;;;
221115;0000;12;;;
221116;0000;15;;;
221117;0000;14;;;
221118;0000;16;;;
221119;0000;12;;;
221120;0000;12;;;
221121;0000;11;;;
221122;0000;15;;;
221123;0000;15;;;
221124;0000;13;;;
221125;0000;14;;;
221126;0000;13;;;
221127;0000;12;;;
221128;0000;13;;;
221129;0000;14;;;
221130;0000;9;;;
221201;0000;10;;;
221202;0000;10;;;
221203;0000;11;;;
221204;0000;9;;;
221205;0000;;;;
221206;0000;;;;
221207;0000;10;;;
221208;0000;11;;;
221209;0000;9;;;
221210;0000;8;;;
221211;0000;9;;;
221212;0000;15;;;
221213;0000;11;;;
221214;0000;11;;;
221215;0000;30;;;
221216;0000;36;;;
221217;0000;17;;;
221218;0000;12;;;
221219;0000;10;;;
221220;0000;7;;;
221221;0000;9;;;
221222;0000;6;;;
221223;0000;9;;;
221224;0000;12;;;
221225;0000;14;;;
221226;0000;11;;;
221227;0000;13;;;
221228;0000;15;;;
221229;0000;13;;;
221230;0000;17;;;
221231;0000;15;;;
230101;0000;14;;;
230102;0000;10;;;
230103;0000;10;;;
230104;0000;13;;;
230105;0000;16;;;
230106;0000;11;;;
230107;0000;11;;;
230108;0000;9;;;
230109;0000;13;;;
230110;0000;10;;;
